Date;Hour;P;Test
30/01/2015;6;301,6;0,975
30/01/2015;7;373,9;0,975
30/01/2015;8;536,7;0,45
30/01/2015;9;565,7;0,6
30/01/2015;10;578,1;2,15
30/01/2015;11;562,5;6,675
30/01/2015;12;598;7,275
30/01/2015;13;603,2;7,9
30/01/2015;14;589,5;8,625
30/01/2015;15;492,1;8,7
30/01/2015;16;445;8
30/01/2015;17;443,5;7,125
30/01/2015;18;381,9;6,525
30/01/2015;19;254,6;5,85
30/01/2015;20;196,9;5,75
30/01/2015;21;183,2;6,15
30/01/2015;22;172,1;5,8
30/01/2015;23;152,9;6
31/01/2015;0;150,6;5,625
31/01/2015;1;154,7;3,7
31/01/2015;2;150,6;3,575
31/01/2015;3;153,6;2,85
31/01/2015;4;152,3;3,05
31/01/2015;5;173,7;1,7
31/01/2015;6;211,5;1,75
31/01/2015;7;235,5;1,525
31/01/2015;8;275,4;2,05
31/01/2015;9;272,6;3,275
31/01/2015;10;270,9;4,875
31/01/2015;11;275,8;6,825
31/01/2015;12;271,4;7,1
31/01/2015;13;237,3;7,4
31/01/2015;14;181;8,275
31/01/2015;15;153,9;8,45
31/01/2015;16;141,8;7,35
31/01/2015;17;138,1;6,3
31/01/2015;18;151,1;5,4
31/01/2015;19;150,6;4,475
31/01/2015;20;152,2;3,9
31/01/2015;21;153,1;3,325
31/01/2015;22;151,5;2,875
31/01/2015;23;150,9;2,675
01/02/2015;0;154,3;2,575
01/02/2015;1;154,9;2,525
01/02/2015;2;150,4;2,025
01/02/2015;3;151;1,525
01/02/2015;4;149,9;1,6
01/02/2015;5;151;0,475
01/02/2015;6;151,2;-0,175
01/02/2015;7;146,2;-0,45
01/02/2015;8;122,4;-0,025
01/02/2015;9;117,9;2,525
01/02/2015;10;115,1;4,5
01/02/2015;11;111,6;7,125
01/02/2015;12;109,7;8,125
01/02/2015;13;111,6;8,575
01/02/2015;14;112,5;10,375
01/02/2015;15;113,4;10,975
01/02/2015;16;116;10,2
01/02/2015;17;121,8;9,05
01/02/2015;18;139,1;8,175
01/02/2015;19;162,1;7,775
01/02/2015;20;147,4;7,425
01/02/2015;21;151,3;7,325
01/02/2015;22;143,7;7,15
01/02/2015;23;145,1;7,075
02/02/2015;0;153,5;6,825
02/02/2015;1;155,4;6,65
02/02/2015;2;154,8;6,875
02/02/2015;3;157,5;6,575
02/02/2015;4;159,8;4,375
02/02/2015;5;195,4;2,15
02/02/2015;6;280,6;1,775
02/02/2015;7;329,8;1,975
02/02/2015;8;482,4;2,25
02/02/2015;9;559,9;3,775
02/02/2015;10;553,3;5,25
02/02/2015;11;576,4;7,225
02/02/2015;12;608,5;9,475
02/02/2015;13;610,4;9,85
02/02/2015;14;604,6;10,375
02/02/2015;15;541,7;10,6
02/02/2015;16;463,3;10,8
02/02/2015;17;460,3;9,925
02/02/2015;18;443,2;8,5
02/02/2015;19;308,9;7,85
02/02/2015;20;217,8;6,35
02/02/2015;21;183,4;5,375
02/02/2015;22;172,4;4,475
02/02/2015;23;161,2;3,65
03/02/2015;0;159;3,5
03/02/2015;1;157,5;3,4
03/02/2015;2;161;2,025
03/02/2015;3;164,1;2,15
03/02/2015;4;168,2;2,15
03/02/2015;5;187,5;2,025
03/02/2015;6;291,2;1,725
03/02/2015;7;353,3;1,65
03/02/2015;8;497,2;2,05
03/02/2015;9;581;2,325
03/02/2015;10;579,4;2,6
03/02/2015;11;574,7;2,825
03/02/2015;12;622,1;3,075
03/02/2015;13;647,5;3,175
03/02/2015;14;605,2;2,875
03/02/2015;15;559,1;2,85
03/02/2015;16;490,3;2,775
03/02/2015;17;472,5;2,5
03/02/2015;18;432,1;2,375
03/02/2015;19;306,1;2,725
03/02/2015;20;218,6;2,375
03/02/2015;21;184,5;2,225
03/02/2015;22;167,5;2,525
03/02/2015;23;158,9;2,525
04/02/2015;0;154,6;2,475
04/02/2015;1;150,7;2,575
04/02/2015;2;152;3,275
04/02/2015;3;149,9;3,425
04/02/2015;4;157,9;3,2
04/02/2015;5;179,7;2,4
04/02/2015;6;285,3;2,625
04/02/2015;7;332;2,575
04/02/2015;8;466,4;2,925
04/02/2015;9;506,9;3,35
04/02/2015;10;547,4;3,2
04/02/2015;11;574,6;3,25
04/02/2015;12;609,2;3,775
04/02/2015;13;612,6;4,475
04/02/2015;14;597,6;4,35
04/02/2015;15;551,9;4,575
